kanji,kana,meaning,local_score,moji_seen_count,moji_wrong_count,moji_right_count,migration_priority
故障,こしょう,故障,-11.2,7,7,0,197.0
守る,まもる,遵守；保护,-1.2,6,6,0,197.0
きちんと,きちんと,好好地；整齐地；准确地；恰当地,-1.2,6,6,0,196.0
フリーズ,ふりーず,冻结；死机；凝固,-1.1,6,6,0,195.0
丁寧,ていねい,礼貌；细心周到,-1.2,5,5,0,176.0
被る,かぶる,戴帽子,-1.2,5,5,0,176.0
怒る,おこる,发怒；骂，训斥,-1.2,5,5,0,175.0
注意,ちゅうい,注意，留神；提醒，警告,-1.2,5,5,0,175.0
生きる,いきる,生存；生活,-1.2,5,5,0,175.0
うっかり,うっかり,不注意，不留神；无意中，稀里糊涂，漫不经心、心不在焉；发呆，发愣，茫然,-1.2,5,5,0,174.0
提出,ていしゅつ,提交，提出,-1.2,5,5,0,174.0
詳しい,くわしい,详细；精通,-1.2,5,5,0,174.0
気さく,きさく,坦率，直爽，爽快，明朗,-1.1,5,5,0,173.0
相変わらず,あいかわらず,照旧，仍旧跟往常一样,-1.1,5,5,0,173.0
階段,かいだん,楼梯，台阶,0.5,6,5,1,162.0
下がる,さがる,下降；后退；退步,0.5,6,5,1,161.0
吸殻,すいがら,烟头,0.5,6,5,1,160.0
変わる,かわる,改变，变化,0.5,6,5,1,160.0
迎える,むかえる,迎接；迎来,0.5,6,5,1,160.0
サボる,さぼる,旷工，缺勤,0.5,6,5,1,159.0
コンクリート,こんくりーと,混凝土;水泥,0.5999999999999999,6,5,1,159.0
文章,ぶんしょう,文章，作品,-1.2,4,4,0,154.0
迷惑,めいわく,麻烦，为难,-1.2,4,4,0,153.0
野球場,やきゅうじょう,棒球场,-1.2,4,4,0,152.0
免許証,めんきょしょう,许可证，执照,-1.1,4,4,0,151.0
履く,はく,穿鞋/裤子,0.8,5,4,1,137.0
カーテン,かーてん,窗帘；幕；帘子,0.8,5,4,1,136.0
サンダル,さんだる,草鞋式的皮鞋；凉鞋；拖鞋,0.8,5,4,1,136.0
答える,こたえる,回应；回答，解答,0.8,5,4,1,136.0
美しい,うつくしい,美丽的；美好的,0.8,5,4,1,136.0
親しい,したしい,亲近的，亲密的,0.8,5,4,1,136.0
間違える,まちがえる,弄错，搞错,0.8,5,4,1,136.0
到着,とうちゃく,到达,0.8,5,4,1,135.0
腕時計,うでどけい,手表，腕表,0.8,5,4,1,135.0
謝る,あやまる,道歉，谢罪,0.8,5,4,1,135.0
破る,やぶる,打破；破坏；违反；打败,0.8,5,4,1,134.0
就職,しゅうしょく,就职，就业，找到工作,-1.2,3,3,0,132.0
警官,けいかん,警察,-1.2,3,3,0,132.0
質問,しつもん,问题，提问,-1.2,3,3,0,132.0
交換,こうかん,交换；交易,-1.2,3,3,0,131.0
参加,さんか,参加,-1.2,3,3,0,131.0
喧嘩,けんか,吵嘴，口角，吵闹，吵架；喧嚷，打架,-1.2,3,3,0,131.0
場合,ばあい,场合，时候，情形,-1.2,3,3,0,131.0
当たる,あたる,打中，命中；撞上；猜中；相当于,-1.2,3,3,0,131.0
暫く,しばらく,暂时，片刻，且慢，不久，一会儿 虽不太长但亦非很短的时间；很久，许久 时间要经过得稍长一点的；暂且，姑且，暂时 不管将来如何，指是眼前时刻,-1.2,3,3,0,131.0
機会,きかい,机会,-1.2,3,3,0,131.0
気が付く,きがつく,意识到，注意到，发觉；细心周到，无微不至；恢复神志，意识苏醒,-1.2,3,3,0,131.0
消しゴム,けしごむ,橡皮擦，橡皮能擦掉铅笔等书写痕迹的文具,-1.2,3,3,0,131.0
用意,ようい,准备，预备,-1.2,3,3,0,131.0
確り,しっかり,稳固，结实，牢固，牢靠确，明确基础或结构坚固，不易动摇或倒塌的状态；（身体）健壮，结实清醒，坚实头脑和肉体等健全，能充分发挥其功能；（性格）坚强，刚强，高明坚定，可靠人的性格、见识等踏实而无风险；用力地，好好地（动作、行为）扎实，稳健；坚固，牢实，靠紧紧靠在一起使之不分离；（经济）行情看涨，坚挺行情处于上升趋势,-1.2,3,3,0,131.0
非常に,ひじょうに,非常（地）,-1.2,3,3,0,131.0
勿体ない,もったいない,可惜的，浪费的，糟蹋掉的；过分（好）的，好得与身份不相符的；不胜感激；不胜惶恐,-1.2,3,3,0,130.0
国際貿易,こくさいぼうえき,国际贸易,-1.2,3,3,0,130.0
新居,しんきょ,新居，新住宅,-1.2,3,3,0,130.0
旨く,うまく,顺利、很好、高明,-1.2,3,3,0,130.0
滞在,たいざい,停留，逗留，旅居,-1.2,3,3,0,130.0
表現,ひょうげん,表现；表达,-1.2,3,3,0,130.0
計算,けいさん,计算；考虑，估计；〈数〉计算，运算,-1.2,3,3,0,130.0
講座,こうざ,讲座大学所属系级单位，由教授及其下属的副教授、讲师、助教等组成；讲座大学里的专题讲解，或在一定时期内讲授专业知识的讲习班；讲座，讲义就某一领域成体系编辑的教材出版形式；讲座，讲席寺院里讲师的坐席,-1.2,3,3,0,130.0
貯める,ためる,积累，储蓄,-1.2,3,3,0,130.0
貯金,ちょきん,存款，储蓄,-1.2,3,3,0,130.0
遠慮なく,えんりょなく,不客气,-1.2,3,3,0,130.0
宇宙飛行士,うちゅうひこうし,宇航员,-1.1,3,3,0,129.0
付ける,つける,加上，附加,1.3,4,3,1,115.0
灰皿,はいざら,烟灰碟，烟灰缸,1.3,4,3,1,115.0
出発,しゅっぱつ,出发,1.3,4,3,1,114.0
